uid,bloco,fontes,citado_por_ambas,ref_ids,status,duplicata_de,inspire_id,autor_ref,primeiro_autor,n_autores,ano_ref,ano_inspire,data_inspire,arxiv,doi,journal,titulo,citacoes,citacoes_sem_auto,idade_anos,citacoes_por_ano,tipo_doc,raw
U0493,B25,AGOSTINI,NAO,A602,NAO_ENCONTRADO,,,Prout,W. Prout,1,1816,,,,,"Annals of Philosophy 7, 111-113 (1816)",Correction of a mistake in the essay on the relation between the specific gravities of bodies in their gaseous state and the weights of their atoms,,,210,,article,"Prout, W (1816), “Correction of a mistake in the essay on the relation between the specific gravities of bodies in their gaseous state and the weights of their atoms,” Annals of philosophy 7 (1816), 111-113."
U0460,B23,AGOSTINI,NAO,A176,OK,,1237807,Bohr,N. Bohr,1,1913,1913,1913-04,,,"Phil. Mag. Ser. 6, 26, 1-24",On the Constitution of Atoms and Molecules,228,228,113,2.02,article,"Bohr, N (1913), “On the Constitution of Atoms and Molecules,” Phil. Mag. Ser. 6 26, 1-24."
U0461,B24,AGOSTINI,NAO,A403;A404,NAO_ENCONTRADO,,,Harkins,Harkins,2,1915,,,,,"J. Am. Chem. Soc. 37, 1383-1396 (1915)",The structure of complex atoms. the hydrogen-helium system. [second paper on atomic structure.],,,111,,article,"Harkins, W D, and E. D. Wilson (1915a), “The structure of complex atoms. the hydrogen-helium system. [second paper on atomic structure.],” Journal of the American Chemical Society 37, 1383-1396."
U0462,B24,AGOSTINI,NAO,A629,NAO_ENCONTRADO,,,Rutherford,Rutherford,1,1920,,,,,"Proc. Roy. Soc. Lond. A 97, 374-400 (1920) [Bakerian Lecture]",Bakerian lecture. nuclear constitution of atoms,,,106,,article,"Rutherford, E (1920a), “Bakerian lecture. nuclear constitution of atoms,” Proceedings Mathematical Physical and Engineering Sciences 97, 374-400."
U0463,B24,AGOSTINI,NAO,A630,NAO_ENCONTRADO,,,Rutherford,Rutherford,1,1920,,,,,"Nature 105, 500-501 (1920)",Nuclear constitution of atoms.,,,106,,article,"Rutherford, E (1920b), “Nuclear constitution of atoms.” Nature 105, 500-501."
U0464,B24,AGOSTINI,NAO,A305,OK,,1812248,Ellis,Ellis,2,1927,1927,1927-12,,,"Proc. Roy. Soc. Lond. A 117 (776), 109-123",The average energy of disintegration of radium E,164,164,99,1.66,article,"Ellis, C D, and W. A Wooster (1927), “The average energy of disintegration of radium E,” Proc. Roy. Soc. Lond. A 117 (776), 109-123."
U0465,B24,AGOSTINI,NAO,A276,OK,,3518,Dirac,Dirac,1,1928,1928,1928-01,,,"Proc. Roy. Soc. Lond. A 117, 610-624",The quantum theory of the electron,1783,1783,98,18.19,article,"Dirac, P A M (1928), “The quantum theory of the electron,” Proceedings of the Royal Society of London Series A Containing Papers of a Mathematical and Physical Character (1905-1934) 117, 610-624."
U0466,B24,AGOSTINI,NAO,A531,NAO_ENCONTRADO,,,Meitner,Meitner,2,1930,,,,,"Z. Phys. 60, 143-155 (1930)",Über eine absolute bestimmung der energie der primären β-strahlen von radium e,,,96,,article,"Meitner, L, and W. Orthmann (1930), “Über eine absolute bestimmung der energie der primären β-strahlen von radium e,” Zeitschrift für Physik A Hadrons and Nuclei 60, 143-155."
U0467,B24,AGOSTINI,NAO,A584,OK,,45177,Pauli,Pauli,1,1930,1930,1930-12-04,,,"carta a L. Meitner; publicada em Phys. Today 31N9, 27 (1978)",Dear radioactive ladies and gentlemen,625,625,96,6.51,article,"Pauli, W (1930), “Dear radioactive ladies and gentlemen,” published in Phys. Today 31N9, 27 (1978), letter to L. Meitner."
U0468,B24,GONZALEZ-GARCIA,NAO,G031,OK,,2118,C. Zener,Zener,1,1932,1932,1932-07,,,"Proc. Roy. Soc. Lond. A137, 696",Nonadiabatic crossing of energy levels,888,888,94,9.45,article,"C. Zener, Proc. Roy. Soc. Lond. A137, 696 (1932)."
U0469,B24,AGOSTINI,NAO,A212,OK,,28174,Chadwick,Chadwick,1,1932,1932,1932-02,,,"Nature 129, 312",Possible Existence of a Neutron,782,782,94,8.32,article,"Chadwick, J (1932), “Possible Existence of a Neutron,” Nature 129, 312."
U0470,B24,GONZALEZ-GARCIA,NAO,G033,NAO_ENCONTRADO,,,E. C. G. Stueckelberg,Stueckelberg,1,1932,,,,,"Helv. Phys. Acta 5, 369 (1932)",,,,94,,article,"E. C. G. Stueckelberg, Helv. Phys. Acta 5, 369 (1932)."
