uid,eixo_num,eixo,tipo,fontes,ano,citacoes,primeiro_autor,n_autores,journal,titulo
U0465,1,"Natureza do neutrino: Dirac, Majorana e quiralidade",Formalismo,AGOSTINI,1928,1783,Dirac,1,"Proc. Roy. Soc. Lond. A 117, 610-624",The quantum theory of the electron
U0482,1,"Natureza do neutrino: Dirac, Majorana e quiralidade",Formalismo,AGOSTINI,1937,1720,Majorana,1,"Nuovo Cim. 14, 171-184",Teoria simmetrica dell'elettrone e del positrone
U0483,1,"Natureza do neutrino: Dirac, Majorana e quiralidade",Formalismo,AGOSTINI,1937,305,Racah,1,"Nuovo Cim. 14, 322-328",On the symmetry of particle and antiparticle
U0485,1,"Natureza do neutrino: Dirac, Majorana e quiralidade",Formalismo,AGOSTINI,1938,35,Furry,1,"Phys. Rev. 54, 56-67",Note on the Theory of the Neutral Particle
U0514,1,"Natureza do neutrino: Dirac, Majorana e quiralidade",Formalismo,AGOSTINI,1955,241,Davis,1,"Phys.Rev. 97, 766","Attempt to detect the antineutrinos from a nuclear reactor by the Cl37(anti-nu,e-) A37 reaction"
U0520,1,"Natureza do neutrino: Dirac, Majorana e quiralidade",Formalismo,AGOSTINI,1957,74,Landau,1,"Nucl.Phys. 3, 127",On the conservation laws for weak interactions
U0521,1,"Natureza do neutrino: Dirac, Majorana e quiralidade",Formalismo,AGOSTINI,1957,492,Lee,2,"Phys. Rev. 105, 1671",Parity Nonconservation and a Two Component Theory of the Neutrino
U0524,1,"Natureza do neutrino: Dirac, Majorana e quiralidade",Formalismo,AGOSTINI,1957,322,Salam,1,"Nuovo Cim. 5, 299",On parity conservation and neutrino mass
U0519,1,"Natureza do neutrino: Dirac, Majorana e quiralidade",Formalismo,AGOSTINI,1957,186,Case,1,"Phys.Rev. 107, 307",Reformulation of the Majorana Theory of the Neutrino
U0525,1,"Natureza do neutrino: Dirac, Majorana e quiralidade",Formalismo,AGOSTINI,1957,,Radicati,2,"Nuovo Cim. Series 10, 5, 1693",On the equivalence theorem for the massless neutrino
U0527,1,"Natureza do neutrino: Dirac, Majorana e quiralidade",Formalismo,AGOSTINI,1958,2053,Feynman,2,"Phys. Rev. 109, 193",Theory of Fermi interaction
U0528,1,"Natureza do neutrino: Dirac, Majorana e quiralidade",Formalismo,AGOSTINI,1958,999,Goldhaber,3,"Phys. Rev. 109, 1015",Helicity of Neutrinos
