uid,bloco,metodo,fontes,ref_ids,autor,ano,arxiv,doi,journal,titulo,raw
U0001,B01,arxiv,AGOSTINI;GONZALEZ-GARCIA,A359;G011,Gell-Mann,1979,1306.4669,,,Complex spinors and unified theories,"Gell-Mann, M, P. Ramond, and R. Slansky (1979), “Complex spinors and unified theories,” in Complex Spinors and Unified Theories, Vol. 790927, pp. 315-321, arXiv:1306.4669 [hep-th]."
U0002,B01,arxiv,GONZALEZ-GARCIA,G010,P. Ramond,1979,hep-ph/9809459,,,,"P. Ramond, in “International Symposium on Fundamentals of Quantum Theory and Quantum Field Theory,” (1979), [hep-ph/9809459]."
U0003,B01,arxiv,GONZALEZ-GARCIA,G008,A. Pilaftsis,1992,hep-ph/9901206,,Z. Phys.|C55|275,,"A. Pilaftsis, Z. Phys. C55, 275 (1992), [hep-ph/9901206]."
U0004,B01,arxiv,AGOSTINI,A121,Bahcall,1994,astro-ph/9401024,,,The Be-7 solar neutrino line: A Reflection of the central temperature distribution of the sun,"Bahcall, J N (1994), “The Be-7 solar neutrino line: A Reflection of the central temperature distribution of the sun,” Phys. Rev. D 49, 3923-3945, arXiv:astro-ph/9401024."
U0005,B01,arxiv,AGOSTINI,A122,Bahcall,1996,nucl-th/9601044,,,Standard neutrino spectrum from B-8 decay,"Bahcall, J N, E. Lisi, D. E. Alburger, L. De Braeckeleer, S. J. Freedman, and J. Napolitano (1996), “Standard neutrino spectrum from B-8 decay,” Phys. Rev. C 54, 411-422, arXiv:nucl-th/9601044."
U0006,B01,arxiv,AGOSTINI,A127,Balysh,1996,nucl-ex/9608001,,,Double beta decay of 48 Ca,"Balysh, A, A. S. De Silva, V. I. Lebedev, K. Lou, M. K. Moe, M. A. Nelson, A. Piepke, A. Pronsky, M. A. Vient, and P. Vogel (1996), “Double beta decay of 48 Ca,” Phys. Rev. Lett. 77, 5186-5189, arXiv:nucl-ex/9608001."
U0007,B01,arxiv,GONZALEZ-GARCIA,G218,J. J. Gomez-Cadenas and M. C. Gonzalez-Garcia,1996,hep-ph/9504246,,Z. Phys.|C71|443,,"J. J. Gomez-Cadenas and M. C. Gonzalez-Garcia, Z. Phys. C71, 443 (1996), [hep-ph/9504246]."
U0008,B01,arxiv,AGOSTINI,A456,Kajantie,1996,hep-lat/9510020,,,The Electroweak phase transition: A Nonperturbative analysis,"Kajantie, K, M. Laine, K. Rummukainen, and M. E. Shaposhnikov (1996), “The Electroweak phase transition: A Nonperturbative analysis,” Nucl. Phys. B 466, 189-258, arXiv:hep-lat/9510020."
U0009,B01,arxiv,AGOSTINI,A560,Nilles,1997,hep-ph/9606388,,,"Supersymmetric neutrino masses, r symmetries, and the generalized µ problem","Nilles, H-P, and N. Polonsky (1997), “Supersymmetric neutrino masses, r symmetries, and the generalized µ problem,” Nucl.Phys.B 484, 33-62, arXiv:hep-ph/9606388."
U0010,B01,arxiv,AGOSTINI,A050,Akhmedov,1998,hep-ph/9803255,,,Baryogenesis via neutrino oscillations,"Akhmedov, Evgeny K, V. A. Rubakov, and A. Yu. Smirnov (1998), “Baryogenesis via neutrino oscillations,” Phys. Rev. Lett. 81, 1359-1362, arXiv:hep-ph/9803255."
U0011,B01,arxiv,GONZALEZ-GARCIA,G187,C. Kim and U. Lee,1998,hep-ph/9809491,,Phys.Lett.|B444|204,,"C. Kim and U. Lee, Phys.Lett. B444, 204 (1998), [hep-ph/9809491]."
