ref_id,fonte,autor,ano,arxiv,doi,titulo,raw
A001,AGOSTINI,Aalbers,2016,1606.07001,,DARWIN: towards the ultimate dark matter detector,"Aalbers, J, et al. (DARWIN) (2016), “DARWIN: towards the ultimate dark matter detector,” JCAP 11, 017, arXiv:1606.07001 [astro-ph.IM]."
A002,AGOSTINI,Aalseth,2005,,,"[aip topical workshop on low radioactivity techniques: Lrt 2004 - sudbury, ontario (canada) (12- 14 december 2004)] aip conference proceedings - ultra-lowbackground copper production and clean fabrication","Aalseth, C E (2005), “[aip topical workshop on low radioactivity techniques: Lrt 2004 - sudbury, ontario (canada) (12- 14 december 2004)] aip conference proceedings - ultra-lowbackground copper production and clean fabrication,”."
A003,AGOSTINI,Aalseth,2002,hep-ex/0202018,,Comment on ‘Evidence for neutrinoless double beta decay’,"Aalseth, C E, et al. (2002), “Comment on ‘Evidence for neutrinoless double beta decay’,” Mod. Phys. Lett. A 17, 1475- 1478, arXiv:hep-ex/0202018."
A004,AGOSTINI,Aaltonen,2022,,,High-precision measurement of the W boson mass with the CDF II detector,"Aaltonen, T, et al. (CDF) (2022), “High-precision measurement of the W boson mass with the CDF II detector,” Science 376 (6589), 170-176."
A005,AGOSTINI,Abe,2012,,10.1016/j.nima.2011.09.051,Radon removal from gaseous xenon with activated charcoal,"Abe, K, et al. (2012a), “Radon removal from gaseous xenon with activated charcoal,” Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment 661, 10.1016/j.nima.2011.09.051."
A006,AGOSTINI,Abe,2014,1311.4750,,Observation of Electron Neutrino Appearance in a Muon Neutrino Beam,"Abe, K, et al. (T2K) (2014), “Observation of Electron Neutrino Appearance in a Muon Neutrino Beam,” Phys. Rev. Lett. 112, 061802, arXiv:1311.4750 [hep-ex]."
A007,AGOSTINI,Abe,2022,2203.02139,,First Search for the Majorana Nature of Neutrinos in the Inverted Mass Ordering Region with KamLAND-Zen,"Abe, S, et al. (KamLAND-Zen) (2022), “First Search for the Majorana Nature of Neutrinos in the Inverted Mass Ordering Region with KamLAND-Zen,” arXiv:2203.02139 [hep-ex]."
A008,AGOSTINI,Abe,2012,,,"Benchmarks of the full configuration interaction, Monte Carlo shell model, and no-core full configuration methods","Abe, T, P. Maris, T. Otsuka, N. Shimizu, Y. Utsuno, and J. P. Vary (2012b), “Benchmarks of the full configuration interaction, Monte Carlo shell model, and no-core full configuration methods,” Phys. Rev. C 86, 054301."
A009,AGOSTINI,Aberle,2014,1307.5813,,Measuring Directionality in Double-Beta Decay and Neutrino Interactions with Kiloton-Scale Scintillation Detectors,"Aberle, C, A. Elagin, H.J. Frisch, M. Wetstein, and L. Winslow (2014), “Measuring Directionality in Double-Beta Decay and Neutrino Interactions with Kiloton-Scale Scintillation Detectors,” JINST 9, P06012, arXiv:1307.5813 [physics.ins-det]."
A010,AGOSTINI,Aberle,2013,1307.4742,,Optical Properties of Quantum-Dot-Doped Liquid Scintillators,"Aberle, C, J. J. Li, S. Weiss, and L. Winslow (2013), “Optical Properties of Quantum-Dot-Doped Liquid Scintillators,” JINST 8, P10015, arXiv:1307.4742 [physics.ins-det]."
A011,AGOSTINI,Abgrall,2014,1308.1633,,The Majorana Demonstrator Neutrinoless Double-Beta Decay Experiment,"Abgrall, N, et al. (Majorana) (2014), “The Majorana Demonstrator Neutrinoless Double-Beta Decay Experiment,” Adv. High Energy Phys. 2014, 365432, arXiv:1308.1633 [physics.ins-det]."
A012,AGOSTINI,Abgrall,2015,1502.01748,,The Majorana Parts Tracking Database,"Abgrall, N, et al. (Majorana) (2015), “The Majorana Parts Tracking Database,” Nucl. Instrum. Meth. A 779, 52-62, arXiv:1502.01748 [physics.ins-det]."
A013,AGOSTINI,Abgrall,2017,1612.00886,,"New limits on Bosonic Dark Matter, Solar Axions, Pauli Exclusion Principle Violation, and Electron Decay from the Majorana Demonstrator","Abgrall, N, et al. (Majorana) (2017), “New limits on Bosonic Dark Matter, Solar Axions, Pauli Exclusion Principle Violation, and Electron Decay from the Majorana Demonstrator,” Phys. Rev. Lett. 118 (16), 161801, arXiv:1612.00886 [nucl-ex]."
