uid,bloco,fontes,citado_por_ambas,ref_ids,status,duplicata_de,inspire_id,autor_ref,primeiro_autor,n_autores,ano_ref,ano_inspire,data_inspire,arxiv,doi,journal,titulo,citacoes,citacoes_sem_auto,idade_anos,citacoes_por_ano,tipo_doc,raw,eixos,score_tema,nucleo
U0560,B28,GONZALEZ-GARCIA,NAO,G021,OK,,81350,M. Kobayashi and T. Maskawa,"Kobayashi, M.",2,1973,1973,1973-02,,,"Prog.Theor.Phys. 49, 652",CP Violation in the Renormalizable Theory of Weak Interaction,12896,12882,53,243.32,article,"M. Kobayashi and T. Maskawa, Prog. Theor. Phys. 49, 652 (1973).",pmns_cp,3,SIM
U0548,B28,AGOSTINI,NAO,A632,OK,,51345,Sakharov,"Sakharov, A.D.",1,1967,1967,1967,,,"Pisma Zh.Eksp.Teor.Fiz. 5, 32","Violation of CP Invariance, C asymmetry, and baryon asymmetry of the universe",5876,5872,59,99.59,article,"Sakharov, A D (1967), “Violation of CP Invariance, C asymmetry, and baryon asymmetry of the universe,” Pisma Zh. Eksp. Teor. Fiz. 5, 32-35.",violacao_numero_leptonico,3,SIM
U0579,B29,GONZALEZ-GARCIA,NAO,G015,OK,,153987,J. Schechter and J. W. F. Valle,Schechter,2,1980,1980,1980-06,,,"Phys. Rev. D22, 2227",Neutrino Masses in SU(2) x U(1) Theories,4227,3890,46,91.89,article,"J. Schechter and J. W. F. Valle, Phys. Rev. D22, 2227 (1980).",violacao_numero_leptonico,3,SIM
U0599,B30,GONZALEZ-GARCIA,NAO,G202,OK,,216470,C. Jarlskog,"Jarlskog, C.",1,1985,1985,1985-06,,,"Phys. Rev. Lett. 55, 1039",Commutator of the Quark Mass Matrices in the Standard Electroweak Model and a Measure of Maximal CP Violation,2328,2300,41,56.78,article,"C. Jarlskog, Phys. Rev. Lett. 55, 1039 (1985).",pmns_cp,3,SIM
U0228,B12,AGOSTINI,NAO,A353,OK,,1456929,Gando,"Gando, A.",,2016,2016,2016-05-10,1605.02889,,"Phys.Rev.Lett.,117,082503",Search for Majorana Neutrinos near the Inverted Mass Hierarchy Region with KamLAND-Zen,1336,1225,10,133.6,article,"Gando, A, et al. (KamLAND-Zen) (2016), “Search for Majorana Neutrinos near the Inverted Mass Hierarchy Region with KamLAND-Zen,” Phys. Rev. Lett. 117 (8), 082503, [Addendum: Phys.Rev.Lett. 117, 109903 (2016)], arXiv:1605.02889 [hep-ex].",majorana_natureza;seesaw_massa;experimento,7,SIM
U0593,B30,GONZALEZ-GARCIA,NAO,G236,OK,,171180,J. Schechter and J. W. F. Valle,"Schechter, J.",2,1982,1981,1981-12,,,"Phys. Rev. D 25, 2951",Neutrinoless Double beta Decay in SU(2) x U(1) Theories,1248,1141,45,27.73,article,"J. Schechter and J. W. F. Valle, Phys. Rev. D 25, 2951 (1982).",0nubb;violacao_numero_leptonico,6,SIM
U0091,B05,AGOSTINI,NAO,A112,OK,,757787,Avignone III,"Avignone, Frank T., III",3,2008,2007,2007-08,,10.1103/RevModPhys.80.481,"Rev.Mod.Phys.,80,481","Double Beta Decay, Majorana Neutrinos, and Neutrino Mass",1104,1011,19,58.11,article,"Avignone III, F T, S. R. Elliott, and J. Engel (2008), “Double beta decay, Majorana neutrinos, and neutrino mass,” Rev. Mod. Phys. 80, 481.",majorana_natureza;0nubb,6,SIM
U0102,B06,AGOSTINI,NAO,A105,OK,,811669,Atre,"Atre, Anupama",4,2009,2009,2009-01,0901.3589,10.1088/1126-6708/2009/05/030,"JHEP,0905,030",The Search for Heavy Majorana Neutrinos,1027,984,17,60.41,article,"Atre, A, T. Han, S. Pascoli, and B. Zhang (2009), “The search for heavy majorana neutrinos,” JHEP 05, 030, arXiv:0901.3589 [hep-ph].",majorana_natureza,3,SIM
U0600,B30,AGOSTINI,NAO,A277,OK,,219743,Doi,"Doi, M.",3,1985,1985,1985-08-01,,,"Prog. Theor. Phys. Suppl. 83, 1",Double beta Decay and Majorana Neutrino,922,910,41,22.49,article,"Doi, M, T. Kotani, and E. Takasugi (1985), “Double beta Decay and Majorana Neutrino,” Prog. Theor. Phys. Suppl. 83, 1.",majorana_natureza;0nubb,6,SIM
U0034,B02,AGOSTINI,NAO,A468,OK,,540672,Klapdor-Kleingrothaus,H.V. Klapdor-Kleingrothaus,15,2001,2000,2000-07,hep-ph/0103062,10.1007/s100500170022,"Eur.Phys.J.A12,147",Latest results from the Heidelberg-Moscow double beta decay experiment,863,800,26,33.19,article,"Klapdor-Kleingrothaus, H V, et al. (2001b), “Latest results from the Heidelberg-Moscow double beta decay experiment,” Eur. Phys. J. A 12, 147-154, arXiv:hep-ph/0103062.",0nubb,3,SIM
