uid,status,inspire_id,titulo_inspire,primeiro_autor,n_autores,ano_inspire,data_inspire,arxiv,doi,journal,citacoes,citacoes_sem_auto,tipo_doc,query_usada,obs
U0101,OK,800631,Neutrino-less Double Beta Decay of 48Ca studied by CaF2(Eu) Scintillators,"Umehara, S.",16,2008,2008-10,0810.4746,10.1103/PhysRevC.78.058501,"Phys.Rev.C,78,058501",150,132,article,arxiv:0810.4746,
U0102,OK,811669,The Search for Heavy Majorana Neutrinos,"Atre, Anupama",4,2009,2009-01,0901.3589,10.1088/1126-6708/2009/05/030,"JHEP,0905,030",1027,984,article,arxiv:0901.3589,
U0103,OK,817686,Corrections to the Neutrinoless Double-Beta-Decay Operator in the Shell Model,"Engel, Jonathan",2,2009,2009-04,0904.1709,10.1103/PhysRevC.79.064317,"Phys.Rev.C,79,064317",37,28,article,arxiv:0904.1709,
U0104,OK,826643,"NEXT, a HPGXe TPC for neutrinoless double beta decay searches","Granena, F.",63,2009,2009-07,0907.4054,,,112,55,article,arxiv:0907.4054,DOI nao disponivel no INSPIRE para este registro (preprint de proceedings); identidade confirmada por titulo identico e ano.
U0105,OK,811071,Measurement of the solar neutrino capture rate with gallium metal. III: Results for the 2002-2007 data-taking period,"Abdurashitov, J.N.",19,2009,2009-01,0901.2200,10.1103/PhysRevC.80.015807,"Phys.Rev.C,80,015807",908,865,article,arxiv:0901.2200,
U0106,OK,813170,Masses of Te-130 and Xe-130 and Double-beta-Decay Q Value of Te-130,"Redshaw, Matthew",4,2009,2009-02,0902.2139,10.1103/PhysRevLett.102.212502,"Phys.Rev.Lett.,102,212502",148,135,article,arxiv:0902.2139,
U0107,OK,857742,On Leptonic Unitary Triangles and Boomerangs,"Dueck, Alexander",3,2010,2010-06,1006.0227,10.1103/PhysRevD.82.013005,"Phys.Rev.D,82,013005",23,21,article,arxiv:1006.0227,"Titulo do INSPIRE difere da descricao na lista bruta (que so cita journal/vol/pag), mas DOI e journal batem exatamente com Phys. Rev. D82, 013005 citado na referencia, e autor Dueck confirmado."
U0108,OK,823188,Measurement of the two neutrino double beta decay half-life of Zr-96 with the NEMO-3 detector,"Argyriades, J.",69,2009,2009-06,0906.2694,10.1016/j.nuclphysa.2010.07.009,"Nucl.Phys.A,847,168",216,154,article,arxiv:0906.2694,"earliest_date (preprint, 2009) precede em 1 ano o ano de publicacao citado (2010, Nucl.Phys.A 847), dentro da tolerancia; titulo e DOI/journal conferem exatamente."
U0109,DUVIDOSO,793547,Measurement of the solar 8B neutrino rate with a liquid scintillator target and 3 MeV energy threshold in the Borexino detector,"Bellini, G.",86,2008,2008-08,0808.2868,10.1103/PhysRevD.82.033006,"Phys.Rev.D,82,033006",466,290,article,arxiv:0808.2868,"earliest_date do preprint (2008-08) precede em 2 anos o ano de publicacao citado na referencia (2010) -- fora da tolerancia formal de +-1 ano. Autor (Bellini/Borexino) e DOI/journal (Phys. Rev. D 82, 033006) conferem exatamente com a referencia bruta, indicando defasagem normal preprint->publicacao para colaboracao grande; registro muito provavelmente correto mas marcado DUVIDOSO pela ancora de data."
U0110,OK,856391,Left-Right Symmetry at LHC,"Maiezza, Alessio",4,2010,2010-05,1005.5160,10.1103/PhysRevD.82.055022,"Phys.Rev.D,82,055022",323,280,article,arxiv:1005.5160,
U0111,OK,856984,Few active mechanisms of the neutrinoless double beta-decay and effective mass of Majorana neutrinos,"Simkovic, Fedor",3,2010,2010-06,1006.0571,10.1103/PhysRevD.82.113015,"Phys.Rev.D,82,113015",48,37,article,arxiv:1006.0571,
U0112,OK,853273,High-speed phonon imaging using frequency-multiplexed kinetic inductance detectors,"Swenson, L.J.",7,2010,2010-04,1004.5066,10.1063/1.3459142,"Appl.Phys.Lett.,96,263511",78,34,article,arxiv:1004.5066,
